Nacionalidad;Sexo;Año;Total
Guinea-Bissau;Mujeres;2011;1.284
Guinea-Bissau;Mujeres;2010;1.307
Guinea-Bissau;Mujeres;2009;1.337
Guinea-Bissau;Mujeres;2008;1.205
Guinea-Bissau;Mujeres;2007;973
Guinea-Bissau;Mujeres;2006;880
Guinea-Bissau;Mujeres;2005;807
Guinea-Bissau;Mujeres;2004;629
Guinea-Bissau;Mujeres;2003;534
Guinea-Bissau;Mujeres;2002;441
Guinea-Bissau;Mujeres;2001;339
Guinea-Bissau;Mujeres;2000;226
Guinea-Bissau;Mujeres;1999;131
Guinea-Bissau;Mujeres;1998;111
Kenia;Ambos sexos;2022;1.426
Kenia;Ambos sexos;2021;1.428
Kenia;Ambos sexos;2020;1.447
Kenia;Ambos sexos;2019;1.329
Kenia;Ambos sexos;2018;1.247
Kenia;Ambos sexos;2017;1.150
Kenia;Ambos sexos;2016;1.103
Kenia;Ambos sexos;2015;1.098
Kenia;Ambos sexos;2014;1.086
Kenia;Ambos sexos;2013;1.094
Kenia;Ambos sexos;2012;1.072
Kenia;Ambos sexos;2011;969
Kenia;Ambos sexos;2010;873
Kenia;Ambos sexos;2009;739
Kenia;Ambos sexos;2008;592
Kenia;Ambos sexos;2007;530
Kenia;Ambos sexos;2006;538
Kenia;Ambos sexos;2005;530
Kenia;Ambos sexos;2004;452
Kenia;Ambos sexos;2003;488
Kenia;Ambos sexos;2002;421
Kenia;Ambos sexos;2001;347
Kenia;Ambos sexos;2000;274
Kenia;Ambos sexos;1999;245
Kenia;Ambos sexos;1998;280
Kenia;Hombres;2022;352
Kenia;Hombres;2021;344
Kenia;Hombres;2020;358
Kenia;Hombres;2019;313
Kenia;Hombres;2018;297
Kenia;Hombres;2017;263
Kenia;Hombres;2016;245
Kenia;Hombres;2015;240
Kenia;Hombres;2014;264
Kenia;Hombres;2013;254
Kenia;Hombres;2012;246
Kenia;Hombres;2011;246
Kenia;Hombres;2010;227
Kenia;Hombres;2009;201
Kenia;Hombres;2008;168
Kenia;Hombres;2007;151
Kenia;Hombres;2006;166
Kenia;Hombres;2005;168
Kenia;Hombres;2004;145
Kenia;Hombres;2003;169
Kenia;Hombres;2002;141
Kenia;Hombres;2001;115
Kenia;Hombres;2000;91
Kenia;Hombres;1999;85
Kenia;Hombres;1998;104
Kenia;Mujeres;2022;1.074
Kenia;Mujeres;2021;1.084
Kenia;Mujeres;2020;1.089
Kenia;Mujeres;2019;1.016
Kenia;Mujeres;2018;950
Kenia;Mujeres;2017;887
Kenia;Mujeres;2016;858
Kenia;Mujeres;2015;858
Kenia;Mujeres;2014;822
Kenia;Mujeres;2013;840
Kenia;Mujeres;2012;826
Kenia;Mujeres;2011;723
Kenia;Mujeres;2010;646
Kenia;Mujeres;2009;538
Kenia;Mujeres;2008;424
Kenia;Mujeres;2007;379
Kenia;Mujeres;2006;372
Kenia;Mujeres;2005;362
Kenia;Mujeres;2004;307
Kenia;Mujeres;2003;319
Kenia;Mujeres;2002;280
Kenia;Mujeres;2001;232
Kenia;Mujeres;2000;183
Kenia;Mujeres;1999;160
Kenia;Mujeres;1998;176
Liberia;Ambos sexos;2022;225
Liberia;Ambos sexos;2021;236
Liberia;Ambos sexos;2020;256
Liberia;Ambos sexos;2019;236
Liberia;Ambos sexos;2018;219
Liberia;Ambos sexos;2017;238
Liberia;Ambos sexos;2016;256
Liberia;Ambos sexos;2015;280
Liberia;Ambos sexos;2014;320
Liberia;Ambos sexos;2013;366
Liberia;Ambos sexos;2012;408
Liberia;Ambos sexos;2011;455
Liberia;Ambos sexos;2010;492
Liberia;Ambos sexos;2009;516
Liberia;Ambos sexos;2008;554
Liberia;Ambos sexos;2007;581
Liberia;Ambos sexos;2006;862
Liberia;Ambos sexos;2005;1.083
Liberia;Ambos sexos;2004;995
Liberia;Ambos sexos;2003;1.334
Liberia;Ambos sexos;2002;1.385
Liberia;Ambos sexos;2001;1.290
Liberia;Ambos sexos;2000;1.056
Liberia;Ambos sexos;1999;809
Liberia;Ambos sexos;1998;718
Liberia;Hombres;2022;171
Liberia;Hombres;2021;176
Liberia;Hombres;2020;198
Liberia;Hombres;2019;173
Liberia;Hombres;2018;157
Liberia;Hombres;2017;169
Liberia;Hombres;2016;184
Liberia;Hombres;2015;211
Liberia;Hombres;2014;241
Liberia;Hombres;2013;275
Liberia;Hombres;2012;308
Liberia;Hombres;2011;347
Liberia;Hombres;2010;379
Liberia;Hombres;2009;386
Liberia;Hombres;2008;421
Liberia;Hombres;2007;429
Liberia;Hombres;2006;641
Liberia;Hombres;2005;819
Liberia;Hombres;2004;775
Liberia;Hombres;2003;1.047
Liberia;Hombres;2002;1.099
Liberia;Hombres;2001;1.044
Liberia;Hombres;2000;874
Liberia;Hombres;1999;664
Liberia;Hombres;1998;590
Liberia;Mujeres;2022;54
Liberia;Mujeres;2021;60
Liberia;Mujeres;2020;58
Liberia;Mujeres;2019;63
Liberia;Mujeres;2018;62
Liberia;Mujeres;2017;69
Liberia;Mujeres;2016;72
Liberia;Mujeres;2015;69
Liberia;Mujeres;2014;79
Liberia;Mujeres;2013;91
Liberia;Mujeres;2012;100
Liberia;Mujeres;2011;108
Liberia;Mujeres;2010;113
Liberia;Mujeres;2009;130
Liberia;Mujeres;2008;133
Liberia;Mujeres;2007;152
Liberia;Mujeres;2006;221
Liberia;Mujeres;2005;264
Liberia;Mujeres;2004;220
Liberia;Mujeres;2003;287
Liberia;Mujeres;2002;286
Liberia;Mujeres;2001;246
Liberia;Mujeres;2000;182
Liberia;Mujeres;1999;146
Liberia;Mujeres;1998;127
Mali;Ambos sexos;2022;31.792
Mali;Ambos sexos;2021;28.409
Mali;Ambos sexos;2020;27.288
Mali;Ambos sexos;2019;25.011
Mali;Ambos sexos;2018;23.743
Mali;Ambos sexos;2017;23.278
Mali;Ambos sexos;2016;23.315
Mali;Ambos sexos;2015;22.793
Mali;Ambos sexos;2014;23.181
Mali;Ambos sexos;2013;23.942
Mali;Ambos sexos;2012;24.634
Mali;Ambos sexos;2011;24.745
Mali;Ambos sexos;2010;24.228
Mali;Ambos sexos;2009;23.142
Mali;Ambos sexos;2008;19.704
Mali;Ambos sexos;2007;17.094
Mali;Ambos sexos;2006;14.886
Mali;Ambos sexos;2005;12.158
Mali;Ambos sexos;2004;6.890
Mali;Ambos sexos;2003;5.300
Mali;Ambos sexos;2002;3.829
Mali;Ambos sexos;2001;2.449
Mali;Ambos sexos;2000;1.317
Mali;Ambos sexos;1999;758
Mali;Ambos sexos;1998;615
Mali;Hombres;2022;27.149
Mali;Hombres;2021;23.984
Mali;Hombres;2020;23.047
Mali;Hombres;2019;21.063
Mali;Hombres;2018;19.993
Mali;Hombres;2017;19.784
Mali;Hombres;2016;19.993
Mali;Hombres;2015;19.633
Mali;Hombres;2014;20.168
Mali;Hombres;2013;21.034
Mali;Hombres;2012;21.963
Mali;Hombres;2011;22.377
Mali;Hombres;2010;22.112
Mali;Hombres;2009;21.401
Mali;Hombres;2008;18.353
Mali;Hombres;2007;15.953
Mali;Hombres;2006;13.904
Mali;Hombres;2005;11.346
Mali;Hombres;2004;6.266
Mali;Hombres;2003;4.835
Mali;Hombres;2002;3.488
Mali;Hombres;2001;2.185
Mali;Hombres;2000;1.131
Mali;Hombres;1999;602
Mali;Hombres;1998;479
Mali;Mujeres;2022;4.643
Mali;Mujeres;2021;4.425
Mali;Mujeres;2020;4.241
Mali;Mujeres;2019;3.948
Mali;Mujeres;2018;3.750
Mali;Mujeres;2017;3.494
Mali;Mujeres;2016;3.322
Mali;Mujeres;2015;3.160
Mali;Mujeres;2014;3.013
Mali;Mujeres;2013;2.908
Mali;Mujeres;2012;2.671
Mali;Mujeres;2011;2.368
Mali;Mujeres;2010;2.116
Mali;Mujeres;2009;1.741
Mali;Mujeres;2008;1.351
Mali;Mujeres;2007;1.141
Mali;Mujeres;2006;982
Mali;Mujeres;2005;812
Mali;Mujeres;2004;624
Mali;Mujeres;2003;465
Mali;Mujeres;2002;341
Mali;Mujeres;2001;264
Mali;Mujeres;2000;186
Mali;Mujeres;1999;156
Mali;Mujeres;1998;135
Marruecos;Ambos sexos;2022;883.243
Marruecos;Ambos sexos;2021;872.759
Marruecos;Ambos sexos;2020;865.945
Marruecos;Ambos sexos;2019;813.587
Marruecos;Ambos sexos;2018;770.523
Marruecos;Ambos sexos;2017;749.670
Marruecos;Ambos sexos;2016;755.459
Marruecos;Ambos sexos;2015;750.883
Marruecos;Ambos sexos;2014;774.383
Marruecos;Ambos sexos;2013;792.158
Marruecos;Ambos sexos;2012;788.563
Marruecos;Ambos sexos;2011;773.995
Marruecos;Ambos sexos;2010;754.080
Marruecos;Ambos sexos;2009;718.055
Marruecos;Ambos sexos;2008;652.695
Marruecos;Ambos sexos;2007;582.923
Marruecos;Ambos sexos;2006;563.012
Marruecos;Ambos sexos;2005;511.294
Marruecos;Ambos sexos;2004;420.556
Marruecos;Ambos sexos;2003;378.979
Marruecos;Ambos sexos;2002;307.458
Marruecos;Ambos sexos;2001;233.415
Marruecos;Ambos sexos;2000;173.158
Marruecos;Ambos sexos;1999;133.002
Marruecos;Ambos sexos;1998;111.043
Marruecos;Hombres;2022;496.190
Marruecos;Hombres;2021;490.477
Marruecos;Hombres;2020;488.162
Marruecos;Hombres;2019;456.724
Marruecos;Hombres;2018;431.571
Marruecos;Hombres;2017;420.798
Marruecos;Hombres;2016;426.803
Marruecos;Hombres;2015;426.705
Marruecos;Hombres;2014;443.312
Marruecos;Hombres;2013;458.804
Marruecos;Hombres;2012;463.495
Marruecos;Hombres;2011;460.766
Marruecos;Hombres;2010;454.752
Marruecos;Hombres;2009;443.898
Marruecos;Hombres;2008;413.231
Marruecos;Hombres;2007;375.289
Marruecos;Hombres;2006;371.941
Marruecos;Hombres;2005;340.796
Marruecos;Hombres;2004;278.683
Marruecos;Hombres;2003;255.431
Marruecos;Hombres;2002;206.151
Marruecos;Hombres;2001;153.476
Marruecos;Hombres;2000;109.794
Marruecos;Hombres;1999;84.714
Marruecos;Hombres;1998;71.253
Marruecos;Mujeres;2022;387.053
Marruecos;Mujeres;2021;382.282
Marruecos;Mujeres;2020;377.783
Marruecos;Mujeres;2019;356.863
Marruecos;Mujeres;2018;338.952
Marruecos;Mujeres;2017;328.872
Marruecos;Mujeres;2016;328.656
Marruecos;Mujeres;2015;324.178
Marruecos;Mujeres;2014;331.071
Marruecos;Mujeres;2013;333.354
Marruecos;Mujeres;2012;325.068
Marruecos;Mujeres;2011;313.229
Marruecos;Mujeres;2010;299.328
Marruecos;Mujeres;2009;274.157
Marruecos;Mujeres;2008;239.464
Marruecos;Mujeres;2007;207.634
Marruecos;Mujeres;2006;191.071
Marruecos;Mujeres;2005;170.498
Marruecos;Mujeres;2004;141.873
Marruecos;Mujeres;2003;123.548
Marruecos;Mujeres;2002;101.307
Marruecos;Mujeres;2001;79.940
Marruecos;Mujeres;2000;63.364
Marruecos;Mujeres;1999;48.287
Marruecos;Mujeres;1998;39.790
Mauritania;Ambos sexos;2022;8.844
Mauritania;Ambos sexos;2021;8.313
Mauritania;Ambos sexos;2020;8.392
Mauritania;Ambos sexos;2019;8.184
Mauritania;Ambos sexos;2018;8.082
Mauritania;Ambos sexos;2017;8.335
Mauritania;Ambos sexos;2016;8.741
Mauritania;Ambos sexos;2015;8.939
Mauritania;Ambos sexos;2014;9.694
Mauritania;Ambos sexos;2013;10.691
Mauritania;Ambos sexos;2012;11.510
Mauritania;Ambos sexos;2011;11.690
Mauritania;Ambos sexos;2010;11.803
Mauritania;Ambos sexos;2009;11.468
Mauritania;Ambos sexos;2008;9.916
Mauritania;Ambos sexos;2007;9.271
Mauritania;Ambos sexos;2006;9.652
Mauritania;Ambos sexos;2005;9.611
Mauritania;Ambos sexos;2004;7.443
Mauritania;Ambos sexos;2003;6.782
Mauritania;Ambos sexos;2002;5.168
Mauritania;Ambos sexos;2001;3.598
Mauritania;Ambos sexos;2000;1.815
Mauritania;Ambos sexos;1999;1.101
Mauritania;Ambos sexos;1998;909
Mauritania;Hombres;2022;6.454
Mauritania;Hombres;2021;6.091
Mauritania;Hombres;2020;6.128
Mauritania;Hombres;2019;5.989
Mauritania;Hombres;2018;5.904
Mauritania;Hombres;2017;6.127
Mauritania;Hombres;2016;6.511
Mauritania;Hombres;2015;6.710
Mauritania;Hombres;2014;7.350
Mauritania;Hombres;2013;8.134
Mauritania;Hombres;2012;8.887
Mauritania;Hombres;2011;9.157
Mauritania;Hombres;2010;9.369
Mauritania;Hombres;2009;9.290
Mauritania;Hombres;2008;7.965
Mauritania;Hombres;2007;7.480
Mauritania;Hombres;2006;7.781
Mauritania;Hombres;2005;7.589
Mauritania;Hombres;2004;5.767
Mauritania;Hombres;2003;5.332
Mauritania;Hombres;2002;4.133
Mauritania;Hombres;2001;2.916
Mauritania;Hombres;2000;1.449
Mauritania;Hombres;1999;833
Mauritania;Hombres;1998;701
Mauritania;Mujeres;2022;2.390
Mauritania;Mujeres;2021;2.222
Mauritania;Mujeres;2020;2.264
Mauritania;Mujeres;2019;2.195
Mauritania;Mujeres;2018;2.178
Mauritania;Mujeres;2017;2.208
Mauritania;Mujeres;2016;2.230
Mauritania;Mujeres;2015;2.229
Mauritania;Mujeres;2014;2.344
Mauritania;Mujeres;2013;2.557
Mauritania;Mujeres;2012;2.623
Mauritania;Mujeres;2011;2.533
Mauritania;Mujeres;2010;2.434
Mauritania;Mujeres;2009;2.178
Mauritania;Mujeres;2008;1.951
Mauritania;Mujeres;2007;1.791
Mauritania;Mujeres;2006;1.871
Mauritania;Mujeres;2005;2.022
Mauritania;Mujeres;2004;1.676
Mauritania;Mujeres;2003;1.450
Mauritania;Mujeres;2002;1.035
Mauritania;Mujeres;2001;682
Mauritania;Mujeres;2000;366
Mauritania;Mujeres;1999;268
Mauritania;Mujeres;1998;208
Nigeria;Ambos sexos;2022;36.367
Nigeria;Ambos sexos;2021;37.767
Nigeria;Ambos sexos;2020;39.345
Nigeria;Ambos sexos;2019;39.306
Nigeria;Ambos sexos;2018;39.439
Nigeria;Ambos sexos;2017;39.866
Nigeria;Ambos sexos;2016;41.590
Nigeria;Ambos sexos;2015;42.653
Nigeria;Ambos sexos;2014;44.734
Nigeria;Ambos sexos;2013;46.231
Nigeria;Ambos sexos;2012;46.296
Nigeria;Ambos sexos;2011;45.132
Nigeria;Ambos sexos;2010;44.176
Nigeria;Ambos sexos;2009;42.323
Nigeria;Ambos sexos;2008;37.475
Nigeria;Ambos sexos;2007;32.119
Nigeria;Ambos sexos;2006;31.588
Nigeria;Ambos sexos;2005;27.203
Nigeria;Ambos sexos;2004;20.316
Nigeria;Ambos sexos;2003;16.802
Nigeria;Ambos sexos;2002;12.254
Nigeria;Ambos sexos;2001;7.598
Nigeria;Ambos sexos;2000;3.320
Nigeria;Ambos sexos;1999;1.230
Nigeria;Ambos sexos;1998;941
Nigeria;Hombres;2022;20.387
Nigeria;Hombres;2021;21.063
Nigeria;Hombres;2020;21.893
Nigeria;Hombres;2019;21.784
Nigeria;Hombres;2018;21.863
Nigeria;Hombres;2017;22.346
Nigeria;Hombres;2016;23.553
Nigeria;Hombres;2015;24.407
Nigeria;Hombres;2014;25.794
Nigeria;Hombres;2013;26.858
Nigeria;Hombres;2012;27.187
Nigeria;Hombres;2011;26.832
Nigeria;Hombres;2010;26.714
Nigeria;Hombres;2009;25.995
Nigeria;Hombres;2008;23.202
Nigeria;Hombres;2007;19.705
Nigeria;Hombres;2006;19.365
Nigeria;Hombres;2005;16.874
Nigeria;Hombres;2004;12.648
Nigeria;Hombres;2003;10.731
Nigeria;Hombres;2002;8.054
Nigeria;Hombres;2001;5.180
Nigeria;Hombres;2000;2.487
Nigeria;Hombres;1999;848
Nigeria;Hombres;1998;654
Nigeria;Mujeres;2022;15.980
Nigeria;Mujeres;2021;16.704
Nigeria;Mujeres;2020;17.452
Nigeria;Mujeres;2019;17.522
Nigeria;Mujeres;2018;17.576
Nigeria;Mujeres;2017;17.520
Nigeria;Mujeres;2016;18.037
Nigeria;Mujeres;2015;18.246
Nigeria;Mujeres;2014;18.940
Nigeria;Mujeres;2013;19.373
Nigeria;Mujeres;2012;19.109
Nigeria;Mujeres;2011;18.300
Nigeria;Mujeres;2010;17.462
Nigeria;Mujeres;2009;16.328
Nigeria;Mujeres;2008;14.273
Nigeria;Mujeres;2007;12.414
Nigeria;Mujeres;2006;12.223
Nigeria;Mujeres;2005;10.329
Nigeria;Mujeres;2004;7.668
Nigeria;Mujeres;2003;6.071
Nigeria;Mujeres;2002;4.200
Nigeria;Mujeres;2001;2.418
Nigeria;Mujeres;2000;833
Nigeria;Mujeres;1999;382
Nigeria;Mujeres;1998;286
República Democrática del Congo;Ambos sexos;2022;818
República Democrática del Congo;Ambos sexos;2021;875
República Democrática del Congo;Ambos sexos;2020;947
República Democrática del Congo;Ambos sexos;2019;975
República Democrática del Congo;Ambos sexos;2018;953
República Democrática del Congo;Ambos sexos;2017;945
República Democrática del Congo;Ambos sexos;2016;1.005
República Democrática del Congo;Ambos sexos;2015;1.087
República Democrática del Congo;Ambos sexos;2014;1.162
República Democrática del Congo;Ambos sexos;2013;1.249
República Democrática del Congo;Ambos sexos;2012;1.294
República Democrática del Congo;Ambos sexos;2011;1.302
República Democrática del Congo;Ambos sexos;2010;1.255
República Democrática del Congo;Ambos sexos;2009;1.186
República Democrática del Congo;Ambos sexos;2008;1.105
República Democrática del Congo;Ambos sexos;2007;1.008
República Democrática del Congo;Ambos sexos;2006;1.035
República Democrática del Congo;Ambos sexos;2005;983
República Democrática del Congo;Ambos sexos;2004;859
República Democrática del Congo;Ambos sexos;2003;965
República Democrática del Congo;Ambos sexos;2002;969
República Democrática del Congo;Ambos sexos;2001;913
República Democrática del Congo;Ambos sexos;2000;835
República Democrática del Congo;Ambos sexos;1999;695
República Democrática del Congo;Ambos sexos;1998;652
República Democrática del Congo;Hombres;2022;500
República Democrática del Congo;Hombres;2021;545
República Democrática del Congo;Hombres;2020;600
República Democrática del Congo;Hombres;2019;610
República Democrática del Congo;Hombres;2018;593
República Democrática del Congo;Hombres;2017;591
República Democrática del Congo;Hombres;2016;615
República Democrática del Congo;Hombres;2015;644
República Democrática del Congo;Hombres;2014;707
República Democrática del Congo;Hombres;2013;760
República Democrática del Congo;Hombres;2012;803
República Democrática del Congo;Hombres;2011;814
República Democrática del Congo;Hombres;2010;769
República Democrática del Congo;Hombres;2009;744
República Democrática del Congo;Hombres;2008;723
República Democrática del Congo;Hombres;2007;662
República Democrática del Congo;Hombres;2006;685
República Democrática del Congo;Hombres;2005;647
República Democrática del Congo;Hombres;2004;569
República Democrática del Congo;Hombres;2003;629
República Democrática del Congo;Hombres;2002;639
República Democrática del Congo;Hombres;2001;610
República Democrática del Congo;Hombres;2000;565
República Democrática del Congo;Hombres;1999;447
República Democrática del Congo;Hombres;1998;407
República Democrática del Congo;Mujeres;2022;318
República Democrática del Congo;Mujeres;2021;330
República Democrática del Congo;Mujeres;2020;347
República Democrática del Congo;Mujeres;2019;365
República Democrática del Congo;Mujeres;2018;360
República Democrática del Congo;Mujeres;2017;354
República Democrática del Congo;Mujeres;2016;390
República Democrática del Congo;Mujeres;2015;443
República Democrática del Congo;Mujeres;2014;455
República Democrática del Congo;Mujeres;2013;489
República Democrática del Congo;Mujeres;2012;491
República Democrática del Congo;Mujeres;2011;488
República Democrática del Congo;Mujeres;2010;486
República Democrática del Congo;Mujeres;2009;442
República Democrática del Congo;Mujeres;2008;382
República Democrática del Congo;Mujeres;2007;346
República Democrática del Congo;Mujeres;2006;350
República Democrática del Congo;Mujeres;2005;336
República Democrática del Congo;Mujeres;2004;290
República Democrática del Congo;Mujeres;2003;336
República Democrática del Congo;Mujeres;2002;330
República Democrática del Congo;Mujeres;2001;303
República Democrática del Congo;Mujeres;2000;269
República Democrática del Congo;Mujeres;1999;248
República Democrática del Congo;Mujeres;1998;245
Senegal;Ambos sexos;2022;83.260
Senegal;Ambos sexos;2021;78.550
Senegal;Ambos sexos;2020;76.973
Senegal;Ambos sexos;2019;71.020
Senegal;Ambos sexos;2018;66.203
Senegal;Ambos sexos;2017;63.832
Senegal;Ambos sexos;2016;62.716
Senegal;Ambos sexos;2015;61.798
Senegal;Ambos sexos;2014;62.705
Senegal;Ambos sexos;2013;64.165
Senegal;Ambos sexos;2012;63.963
Senegal;Ambos sexos;2011;63.601
Senegal;Ambos sexos;2010;61.970
Senegal;Ambos sexos;2009;56.590
Senegal;Ambos sexos;2008;46.620
Senegal;Ambos sexos;2007;36.955
Senegal;Ambos sexos;2006;35.079
Senegal;Ambos sexos;2005;29.608
Senegal;Ambos sexos;2004;21.465
Senegal;Ambos sexos;2003;18.687
Senegal;Ambos sexos;2002;14.459
Senegal;Ambos sexos;2001;10.627
Senegal;Ambos sexos;2000;7.256
Senegal;Ambos sexos;1999;5.831
Senegal;Ambos sexos;1998;4.880
Senegal;Hombres;2022;65.453
Senegal;Hombres;2021;61.459
Senegal;Hombres;2020;60.269
Senegal;Hombres;2019;55.229
Senegal;Hombres;2018;51.340
Senegal;Hombres;2017;49.642
Senegal;Hombres;2016;49.040
Senegal;Hombres;2015;48.699
Senegal;Hombres;2014;49.715
Senegal;Hombres;2013;51.307
Senegal;Hombres;2012;51.626
Senegal;Hombres;2011;52.014
Senegal;Hombres;2010;51.230
Senegal;Hombres;2009;47.270
Senegal;Hombres;2008;39.130
Senegal;Hombres;2007;30.426
Senegal;Hombres;2006;28.815
Senegal;Hombres;2005;24.171
Senegal;Hombres;2004;17.280
Senegal;Hombres;2003;15.042
Senegal;Hombres;2002;11.584
Senegal;Hombres;2001;8.408
Senegal;Hombres;2000;5.631
Senegal;Hombres;1999;4.564
Senegal;Hombres;1998;3.904
Senegal;Mujeres;2022;17.807
Senegal;Mujeres;2021;17.091
Senegal;Mujeres;2020;16.704
Senegal;Mujeres;2019;15.791
Senegal;Mujeres;2018;14.863
Senegal;Mujeres;2017;14.190
Senegal;Mujeres;2016;13.676
Senegal;Mujeres;2015;13.099
Senegal;Mujeres;2014;12.990
Senegal;Mujeres;2013;12.858
Senegal;Mujeres;2012;12.337
Senegal;Mujeres;2011;11.587
Senegal;Mujeres;2010;10.740
Senegal;Mujeres;2009;9.320
Senegal;Mujeres;2008;7.490
Senegal;Mujeres;2007;6.529
Senegal;Mujeres;2006;6.264
Senegal;Mujeres;2005;5.437
Senegal;Mujeres;2004;4.185
Senegal;Mujeres;2003;3.645
Senegal;Mujeres;2002;2.875
Senegal;Mujeres;2001;2.219
Senegal;Mujeres;2000;1.624
Senegal;Mujeres;1999;1.267
Senegal;Mujeres;1998;976
Sierra Leona;Ambos sexos;2022;693
Sierra Leona;Ambos sexos;2021;705
Sierra Leona;Ambos sexos;2020;696
Sierra Leona;Ambos sexos;2019;689
Sierra Leona;Ambos sexos;2018;661
Sierra Leona;Ambos sexos;2017;664
Sierra Leona;Ambos sexos;2016;717
Sierra Leona;Ambos sexos;2015;741
Sierra Leona;Ambos sexos;2014;818
Sierra Leona;Ambos sexos;2013;888
Sierra Leona;Ambos sexos;2012;905
Sierra Leona;Ambos sexos;2011;920
Sierra Leona;Ambos sexos;2010;962
Sierra Leona;Ambos sexos;2009;991
Sierra Leona;Ambos sexos;2008;981
Sierra Leona;Ambos sexos;2007;989
Sierra Leona;Ambos sexos;2006;1.335
Sierra Leona;Ambos sexos;2005;1.664
Sierra Leona;Ambos sexos;2004;1.640
Sierra Leona;Ambos sexos;2003;1.791
Sierra Leona;Ambos sexos;2002;1.478
Sierra Leona;Ambos sexos;2001;1.000
Sierra Leona;Ambos sexos;2000;565
Sierra Leona;Ambos sexos;1999;303
Sierra Leona;Ambos sexos;1998;259
Sierra Leona;Hombres;2022;517
Sierra Leona;Hombres;2021;526
Sierra Leona;Hombres;2020;500
Sierra Leona;Hombres;2019;484
Sierra Leona;Hombres;2018;465
Sierra Leona;Hombres;2017;463
Sierra Leona;Hombres;2016;492
Sierra Leona;Hombres;2015;516
Sierra Leona;Hombres;2014;569
Sierra Leona;Hombres;2013;628
Sierra Leona;Hombres;2012;645
Sierra Leona;Hombres;2011;652
Sierra Leona;Hombres;2010;679
Sierra Leona;Hombres;2009;703
Sierra Leona;Hombres;2008;697
Sierra Leona;Hombres;2007;683
Sierra Leona;Hombres;2006;871
Sierra Leona;Hombres;2005;1.037
Sierra Leona;Hombres;2004;988
Sierra Leona;Hombres;2003;1.127
Sierra Leona;Hombres;2002;1.018
Sierra Leona;Hombres;2001;732
Sierra Leona;Hombres;2000;452
Sierra Leona;Hombres;1999;244
Sierra Leona;Hombres;1998;201
Sierra Leona;Mujeres;2022;176
Sierra Leona;Mujeres;2021;179
Sierra Leona;Mujeres;2020;196
Sierra Leona;Mujeres;2019;205
Sierra Leona;Mujeres;2018;196
Sierra Leona;Mujeres;2017;201
Sierra Leona;Mujeres;2016;225
Sierra Leona;Mujeres;2015;225
Sierra Leona;Mujeres;2014;249
Sierra Leona;Mujeres;2013;260
Sierra Leona;Mujeres;2012;260
Sierra Leona;Mujeres;2011;268
Sierra Leona;Mujeres;2010;283
Sierra Leona;Mujeres;2009;288
Sierra Leona;Mujeres;2008;284
Sierra Leona;Mujeres;2007;306
Sierra Leona;Mujeres;2006;464
Sierra Leona;Mujeres;2005;627
Sierra Leona;Mujeres;2004;652
Sierra Leona;Mujeres;2003;664
Sierra Leona;Mujeres;2002;460
Sierra Leona;Mujeres;2001;268
Sierra Leona;Mujeres;2000;113
Sierra Leona;Mujeres;1999;58
Sierra Leona;Mujeres;1998;58
Sudáfrica;Ambos sexos;2022;1.732
Sudáfrica;Ambos sexos;2021;1.632
Sudáfrica;Ambos sexos;2020;1.654
Sudáfrica;Ambos sexos;2019;1.434
Sudáfrica;Ambos sexos;2018;1.261
Sudáfrica;Ambos sexos;2017;1.155
Sudáfrica;Ambos sexos;2016;1.056
Sudáfrica;Ambos sexos;2015;1.019
Sudáfrica;Ambos sexos;2014;1.028
Sudáfrica;Ambos sexos;2013;1.022
Sudáfrica;Ambos sexos;2012;969
Sudáfrica;Ambos sexos;2011;903
Sudáfrica;Ambos sexos;2010;875
Sudáfrica;Ambos sexos;2009;862
Sudáfrica;Ambos sexos;2008;803
Sudáfrica;Ambos sexos;2007;704
Sudáfrica;Ambos sexos;2006;788
Sudáfrica;Ambos sexos;2005;810
Sudáfrica;Ambos sexos;2004;704
Sudáfrica;Ambos sexos;2003;724
Sudáfrica;Ambos sexos;2002;607
Sudáfrica;Ambos sexos;2001;480
Sudáfrica;Ambos sexos;2000;429
Sudáfrica;Ambos sexos;1999;354
Sudáfrica;Ambos sexos;1998;356
Sudáfrica;Hombres;2022;882
Sudáfrica;Hombres;2021;813
Sudáfrica;Hombres;2020;852
Sudáfrica;Hombres;2019;757
Sudáfrica;Hombres;2018;674
Sudáfrica;Hombres;2017;635
Sudáfrica;Hombres;2016;588
Sudáfrica;Hombres;2015;561
Sudáfrica;Hombres;2014;562
Sudáfrica;Hombres;2013;556
Sudáfrica;Hombres;2012;546
Sudáfrica;Hombres;2011;528
Sudáfrica;Hombres;2010;515
Sudáfrica;Hombres;2009;502
Sudáfrica;Hombres;2008;464
Sudáfrica;Hombres;2007;411
Sudáfrica;Hombres;2006;439
Sudáfrica;Hombres;2005;447
Sudáfrica;Hombres;2004;388
Sudáfrica;Hombres;2003;398
Sudáfrica;Hombres;2002;334
Sudáfrica;Hombres;2001;270
Sudáfrica;Hombres;2000;230
Sudáfrica;Hombres;1999;181
Sudáfrica;Hombres;1998;180
Sudáfrica;Mujeres;2022;850
Sudáfrica;Mujeres;2021;819
Sudáfrica;Mujeres;2020;802
Sudáfrica;Mujeres;2019;677
Sudáfrica;Mujeres;2018;587
Sudáfrica;Mujeres;2017;520
